,entity,tag,sample
86,maple,B-FOOD,4
87,syrup,I-FOOD,4
88,1,B-QUANTITY,5
89,8,B-QUANTITY,5
90,ounce,B-UNIT,5
91,package,B-UNIT,5
92,crescent,B-FOOD,5
93,rolls,I-FOOD,5
94,slices,B-UNIT,5
95,deli,B-FOOD,5
96,ham,I-FOOD,5
97,teaspoons,B-UNIT,5
98,prepared,B-PROCESS,5
99,mustard,B-FOOD,5
100,1,B-QUANTITY,5
101,cup,B-UNIT,5
102,shredded,B-PROCESS,5
103,swiss,B-FOOD,5
104,cheese,I-FOOD,5
105,cup,B-UNIT,5
106,cheddar,B-FOOD,5
107,cheese,I-FOOD,5
108,tablespoons,B-UNIT,5
109,sesame,B-FOOD,5
110,seeds,I-FOOD,5
111,maple,B-FOOD,5
112,syrup,I-FOOD,5
113,10,B-QUANTITY,6
114,bone,B-PHYSICAL_QUALITY,6
115,in,I-PHYSICAL_QUALITY,6
116,thighs,B-PART,6
117,2-3/4,B-QUANTITY,6
118,lb.,B-UNIT,6
119,skins,B-PROCESS,6
120,removed,I-PROCESS,6
121,ounces,B-UNIT,6
122,TACO,B-FOOD,6
123,BELL®,I-FOOD,6
124,onion,B-FOOD,6
125,chopped,B-PROCESS,6
126,2,B-QUANTITY,6
127,tablespoons,B-UNIT,6
128,curry,B-FOOD,6
129,powder,I-FOOD,6
130,cup,B-UNIT,6
131,Sour,B-FOOD,6
132,Reduced,B-PHYSICAL_QUALITY,6
133,Fat,I-PHYSICAL_QUALITY,6
134,sesame,B-FOOD,6
135,seeds,I-FOOD,6
136,maple,B-FOOD,6
137,syrup,I-FOOD,6
138,2,B-QUANTITY,7
139,medium,B-PHYSICAL_QUALITY,7
140,baking,B-FOOD,7
141,6,B-QUANTITY,7
142,-,I-QUANTITY,7
143,2,B-QUANTITY,7
144,tablespoons,B-UNIT,7
145,melted,B-PROCESS,7
146,butter,B-FOOD,7
147,1⁄4,B-QUANTITY,7
148,teaspoon,B-UNIT,7
149,garlic,B-FOOD,7
150,salt,I-FOOD,7
151,teaspoon,B-UNIT,7
152,seasoning,B-FOOD,7
153,salt,I-FOOD,7
154,teaspoon,B-UNIT,7
155,pepper,B-FOOD,7
156,sour,B-FOOD,7
157,as,B-PURPOSE,7
158,topping,I-PURPOSE,7
159,as,B-PURPOSE,7
160,topping,I-PURPOSE,7
161,maple,B-FOOD,7
162,syrup,I-FOOD,7
163,carrots,B-FOOD,8
164,canning,B-FOOD,8
165,salt,I-FOOD,8
166,Sweet,B-TASTE,8
167,brown,B-COLOR,8
168,sugar,B-FOOD,8
169,2,B-QUANTITY,8
170,cups,B-UNIT,8
171,brown,B-COLOR,8
172,sugar,B-FOOD,8
173,2,B-QUANTITY,8
174,cups,B-UNIT,8
175,water,B-FOOD,8
176,1,B-QUANTITY,8
177,cup,B-UNIT,8
178,orange,B-FOOD,8
179,juice,I-FOOD,8
180,pepper,B-FOOD,8
181,sour,B-FOOD,8
182,as,B-PURPOSE,8
183,topping,I-PURPOSE,8
184,as,B-PURPOSE,8
185,topping,I-PURPOSE,8
186,maple,B-FOOD,8
187,syrup,I-FOOD,8
188,1,B-QUANTITY,9
189,cup,B-UNIT,9
190,chocolate,B-FOOD,9
191,chips,I-FOOD,9
192,cup,B-UNIT,9
193,heavy,B-FOOD,9
194,cream,I-FOOD,9
195,egg,B-FOOD,9
196,whipped,B-PROCESS,9
197,cream,B-FOOD,9
198,1,B-QUANTITY,9
199,teaspoon,B-UNIT,9
200,vanilla,B-FOOD,9
201,extract,I-FOOD,9
202,cup,B-UNIT,9
203,orange,B-FOOD,9
204,juice,I-FOOD,9
205,pepper,B-FOOD,9
206,sour,B-FOOD,9
207,as,B-PURPOSE,9
208,topping,I-PURPOSE,9
209,as,B-PURPOSE,9
210,topping,I-PURPOSE,9
211,maple,B-FOOD,9
212,syrup,I-FOOD,9
213,1,B-QUANTITY,10
214,lime,B-FOOD,10
215,cut,B-PROCESS,10
216,kosher,B-FOOD,10
217,salt,I-FOOD,10
218,cup,B-UNIT,10
219,ruby,B-COLOR,10
220,grapefruit,B-FOOD,10
221,juice,I-FOOD,10
222,cup,B-UNIT,10
223,freshly,B-PROCESS,10
224,lime,B-FOOD,10
225,juice,I-FOOD,10
226,limes,B-FOOD,10
227,1,B-QUANTITY,10
228,cup,B-UNIT,10
229,orange,B-FOOD,10
230,liqueur,I-FOOD,10
231,cups,B-UNIT,10
232,ice,B-FOOD,10
233,1,B-QUANTITY,10
234,cup,B-UNIT,10
235,white,B-COLOR,10
236,tequila,B-FOOD,10
237,3,B-QUANTITY,11
238,avocados,B-FOOD,11
239,ripe,B-PHYSICAL_QUALITY,11
240,1,B-QUANTITY,11
241,1/2,I-QUANTITY,11
242,fresh,B-PHYSICAL_QUALITY,11
243,tomatoes,B-FOOD,11
244,cut,B-PROCESS,11
245,into,I-PROCESS,11
246,red,B-COLOR,11
247,onion,B-FOOD,11
248,sliced,B-PROCESS,11
249,3,B-QUANTITY,11
250,tablespoons,B-UNIT,11
251,white,B-COLOR,11
252,vinegar,B-FOOD,11
253,2,B-QUANTITY,11
254,tablespoons,B-UNIT,11
255,extra-virgin,B-PHYSICAL_QUALITY,11
256,olive,B-FOOD,11
257,oil,I-FOOD,11
258,pepper,B-FOOD,11
259,white,B-COLOR,11
260,tequila,B-FOOD,11
261,1,B-QUANTITY,12
262,ounce,B-UNIT,12
263,Kahlua,B-FOOD,12
264,1⁄2,B-QUANTITY,12
265,ounce,B-UNIT,12
266,tequila,B-FOOD,12
267,6,B-QUANTITY,12
268,ounces,B-UNIT,12
269,hot,B-PHYSICAL_QUALITY,12
270,coffee,B-FOOD,12
271,whipped,B-PROCESS,12
272,cream,B-FOOD,12
273,3,B-QUANTITY,12
274,tablespoons,B-UNIT,12
275,white,B-COLOR,12
276,vinegar,B-FOOD,12
277,2,B-QUANTITY,12
278,tablespoons,B-UNIT,12
279,extra-virgin,B-PHYSICAL_QUALITY,12
280,olive,B-FOOD,12
281,oil,I-FOOD,12
282,pepper,B-FOOD,12
283,white,B-COLOR,12
284,tequila,B-FOOD,12
285,5,B-QUANTITY,13
286,eggs,B-FOOD,13
287,150,B-QUANTITY,13
288,grams,B-UNIT,13
289,sugar,B-FOOD,13
290,5,B-QUANTITY,13
291,1/3,I-QUANTITY,13
292,100,B-QUANTITY,13
293,grams,B-UNIT,13
294,all,B-FOOD,13
295,3,B-QUANTITY,13
296,1/2,I-QUANTITY,13
297,1,B-QUANTITY,13
298,teaspoon,B-UNIT,13
299,baking,B-FOOD,13
300,powder,I-FOOD,13
301,2,B-QUANTITY,13
302,tablespoons,B-UNIT,13
303,extra-virgin,B-PHYSICAL_QUALITY,13
304,olive,B-FOOD,13
305,oil,I-FOOD,13
306,pepper,B-FOOD,13
307,white,B-COLOR,13
308,tequila,B-FOOD,13
309,15,B-QUANTITY,14
310,oz,B-UNIT,14
311,garbanzo,B-FOOD,14
312,beans,I-FOOD,14
313,can,B-UNIT,14
314,drained,B-PROCESS,14
315,rinsed,B-PROCESS,14
316,½,B-QUANTITY,14
317,teaspoon,B-UNIT,14
318,salt,B-FOOD,14
319,½,B-QUANTITY,14
320,teaspoon,B-UNIT,14
321,ground,B-PROCESS,14
322,cumin,B-FOOD,14
323,1,B-QUANTITY,14
324,clove,B-UNIT,14
325,garlic,B-FOOD,14
326,minced,B-PROCESS,14
327,16,B-QUANTITY,14
328,oz,B-UNIT,14
329,roasted,B-PROCESS,14
330,red,B-COLOR,14
331,pepper,B-FOOD,14
332,1,B-QUANTITY,14
333,jar,B-UNIT,14
334,drained,B-PROCESS,14
335,1,B-QUANTITY,14
336,tablespoon,B-UNIT,14
337,lemon,B-FOOD,14
338,juice,I-FOOD,14
339,tablespoon,B-UNIT,14
340,extra,B-PHYSICAL_QUALITY,14
341,olive,B-FOOD,14
342,oil,I-FOOD,14
343,15,B-QUANTITY,15
344,oz,B-UNIT,15
345,garbanzo,B-FOOD,15
346,beans,I-FOOD,15
347,can,B-UNIT,15
348,drained,B-PROCESS,15
349,rinsed,B-PROCESS,15
350,¼,B-QUANTITY,15
351,teaspoon,B-UNIT,15
352,salt,B-FOOD,15
353,1,B-QUANTITY,15
354,clove,B-UNIT,15
355,garlic,B-FOOD,15
356,½,B-QUANTITY,15
357,teaspoon,B-UNIT,15
358,ground,B-PROCESS,15
359,cumin,B-FOOD,15
360,½,B-QUANTITY,15
361,cup,B-UNIT,15
362,basil,B-FOOD,15
363,pesto,I-FOOD,15
364,tablespoon,B-UNIT,15
365,lemon,B-FOOD,15
366,juice,I-FOOD,15
367,tablespoons,B-UNIT,15
368,water,B-FOOD,15
369,1,B-QUANTITY,15
370,tablespoon,B-UNIT,15
371,lemon,B-FOOD,15
372,juice,I-FOOD,15
373,tablespoon,B-UNIT,15
374,extra,B-PHYSICAL_QUALITY,15
375,olive,B-FOOD,15
376,oil,I-FOOD,15
377,32,B-QUANTITY,16
378,ounces,B-UNIT,16
379,baked,B-PROCESS,16
380,beans,B-FOOD,16
381,6,B-QUANTITY,16
382,hot,B-FOOD,16
383,dogs,I-FOOD,16
384,tablespoon,B-UNIT,16
385,horseradish,B-FOOD,16
386,mustard,I-FOOD,16
387,1,B-QUANTITY,16
388,cup,B-UNIT,16
389,shredded,B-PROCESS,16
390,cheddar,B-FOOD,16
391,cheese,I-FOOD,16
392,ounces,B-UNIT,16
393,sweet,B-TASTE,16
394,potato,B-FOOD,16
395,tater,B-FOOD,16
396,basil,B-FOOD,16
397,pesto,I-FOOD,16
398,tablespoon,B-UNIT,16
399,lemon,B-FOOD,16
400,juice,I-FOOD,16
401,tablespoons,B-UNIT,16
402,water,B-FOOD,16
403,1,B-QUANTITY,16
404,tablespoon,B-UNIT,16
405,lemon,B-FOOD,16
406,juice,I-FOOD,16
407,tablespoon,B-UNIT,16
408,extra,B-PHYSICAL_QUALITY,16
409,olive,B-FOOD,16
410,oil,I-FOOD,16
411,4,B-QUANTITY,17
412,salmon,B-FOOD,17
413,approx.,B-QUANTITY,17
414,8,I-QUANTITY,17
415,3,B-QUANTITY,17
416,tablespoons,B-UNIT,17
417,olive,B-FOOD,17
418,oil,I-FOOD,17
419,tablespoons,B-UNIT,17
420,lemon,B-FOOD,17
421,juice,I-FOOD,17
422,spring,B-FOOD,17
423,onion,I-FOOD,17
424,6,B-QUANTITY,17
425,tablespoons,B-UNIT,17
426,limoncello,B-FOOD,17
427,1,B-QUANTITY,17
428,teaspoon,B-UNIT,17
429,oregano,B-FOOD,17
430,2,B-QUANTITY,17
431,tablespoons,B-UNIT,17
432,minced,B-PROCESS,17
433,parsley,B-FOOD,17
434,2,B-QUANTITY,17
435,tablespoons,B-UNIT,17
436,water,B-FOOD,17
437,1,B-QUANTITY,17
438,tablespoon,B-UNIT,17
439,lemon,B-FOOD,17
440,juice,I-FOOD,17
441,tablespoon,B-UNIT,17
442,extra,B-PHYSICAL_QUALITY,17
443,olive,B-FOOD,17
444,oil,I-FOOD,17
445,1,B-QUANTITY,18
446,cup,B-UNIT,18
447,flour,B-FOOD,18
448,1,B-QUANTITY,18
449,1⁄4,I-QUANTITY,18
450,baking,B-FOOD,18
451,powder,I-FOOD,18
452,teaspoon,B-UNIT,18
453,salt,B-FOOD,18
454,1⁄2,B-QUANTITY,18
455,cup,B-UNIT,18
456,low-fat,B-PHYSICAL_QUALITY,18
457,cheese,B-FOOD,18
458,grated,B-PROCESS,18
459,2,B-QUANTITY,18
460,tablespoons,B-UNIT,18
461,butter,B-FOOD,18
462,2⁄3,B-QUANTITY,18
463,cup,B-UNIT,18
464,milk,B-FOOD,18
465,tablespoons,B-UNIT,18
466,minced,B-PROCESS,18
467,parsley,B-FOOD,18
468,2,B-QUANTITY,18
469,tablespoons,B-UNIT,18
470,water,B-FOOD,18
471,1,B-QUANTITY,18
472,tablespoon,B-UNIT,18
473,lemon,B-FOOD,18
474,juice,I-FOOD,18
475,tablespoon,B-UNIT,18
476,extra,B-PHYSICAL_QUALITY,18
477,olive,B-FOOD,18
478,oil,I-FOOD,18
479,3,B-QUANTITY,19
480,stalks,B-UNIT,19
481,celery,B-FOOD,19
482,sliced,B-PROCESS,19
483,½,B-QUANTITY,19
484,cucumber,B-FOOD,19
485,peeled,B-PROCESS,19
486,cubed,B-PROCESS,19
487,½,B-QUANTITY,19
488,cup,B-UNIT,19
489,coconut,B-FOOD,19
490,water,I-FOOD,19
491,tablespoons,B-UNIT,19
492,jalapeño,B-FOOD,19
493,seeded,B-PROCESS,19
494,chopped,B-PROCESS,19
495,¼,B-QUANTITY,19
496,teaspoon,B-UNIT,19
497,himalayan,B-FOOD,19
498,sea,I-FOOD,19
499,tablespoons,B-UNIT,19
500,minced,B-PROCESS,19
501,parsley,B-FOOD,19
502,2,B-QUANTITY,19
503,tablespoons,B-UNIT,19
504,water,B-FOOD,19
505,1,B-QUANTITY,19
506,tablespoon,B-UNIT,19
507,lemon,B-FOOD,19
508,juice,I-FOOD,19
509,tablespoon,B-UNIT,19
510,extra,B-PHYSICAL_QUALITY,19
511,olive,B-FOOD,19
512,oil,I-FOOD,19
513,1,B-QUANTITY,20
514,15,B-QUANTITY,20
515,ounce,B-UNIT,20
516,can,B-UNIT,20
517,chickpeas,B-FOOD,20
518,drained,B-PROCESS,20
519,1,B-QUANTITY,20
520,lemon,B-FOOD,20
521,juice,B-PROCESS,20
522,of,I-PROCESS,20
523,cup,B-UNIT,20
524,olive,B-FOOD,20
525,oil,I-FOOD,20
526,garlic,B-FOOD,20
527,clove,B-UNIT,20
528,peeled,B-PROCESS,20
529,1⁄8,B-QUANTITY,20
530,teaspoon,B-UNIT,20
531,red,B-COLOR,20
532,pepper,B-FOOD,20
533,flakes,I-FOOD,20
534,minced,B-PROCESS,20
535,parsley,B-FOOD,20
536,2,B-QUANTITY,20
537,tablespoons,B-UNIT,20
538,water,B-FOOD,20
539,1,B-QUANTITY,20
540,tablespoon,B-UNIT,20
541,lemon,B-FOOD,20
542,juice,I-FOOD,20
543,tablespoon,B-UNIT,20
544,extra,B-PHYSICAL_QUALITY,20
545,olive,B-FOOD,20
546,oil,I-FOOD,20
547,1,B-QUANTITY,21
548,bagel,B-FOOD,21
549,1,B-QUANTITY,21
550,egg,B-FOOD,21
551,1,B-QUANTITY,21
552,slice,B-UNIT,21
553,cheddar,B-FOOD,21
554,cheese,I-FOOD,21
555,slices,B-UNIT,21
556,deli,B-FOOD,21
557,ham,I-FOOD,21
558,slices,B-UNIT,21
559,deli,B-FOOD,21
560,any,B-FOOD,21
561,lunch,I-FOOD,21
562,peeled,B-PROCESS,21
563,1⁄8,B-QUANTITY,21
564,teaspoon,B-UNIT,21
565,red,B-COLOR,21
566,pepper,B-FOOD,21
567,flakes,I-FOOD,21
568,minced,B-PROCESS,21
569,parsley,B-FOOD,21
570,2,B-QUANTITY,21
571,tablespoons,B-UNIT,21
572,water,B-FOOD,21
573,1,B-QUANTITY,21
574,tablespoon,B-UNIT,21
575,lemon,B-FOOD,21
576,juice,I-FOOD,21
577,tablespoon,B-UNIT,21
578,extra,B-PHYSICAL_QUALITY,21
579,olive,B-FOOD,21
580,oil,I-FOOD,21
581,1,B-QUANTITY,22
582,cup,B-UNIT,22
583,sugar,B-FOOD,22
584,2,B-QUANTITY,22
585,sticks,B-UNIT,22
586,salted,B-TASTE,22
587,butter,B-FOOD,22
588,softened,B-PROCESS,22
589,1,B-QUANTITY,22
590,teaspoon,B-UNIT,22
591,vinegar,B-FOOD,22
592,1,B-QUANTITY,22
593,teaspoon,B-UNIT,22
594,vanilla,B-FOOD,22
595,1,B-QUANTITY,22
596,1/2,I-QUANTITY,22
597,all,B-PURPOSE,22
598,purpose,I-PURPOSE,22
599,1/2,B-QUANTITY,22
600,teaspoon,B-UNIT,22
601,baking,B-FOOD,22
602,soda,I-FOOD,22
603,parsley,B-FOOD,22
604,2,B-QUANTITY,22
605,tablespoons,B-UNIT,22
606,water,B-FOOD,22
607,1,B-QUANTITY,22
608,tablespoon,B-UNIT,22
609,lemon,B-FOOD,22
610,juice,I-FOOD,22
611,tablespoon,B-UNIT,22
612,extra,B-PHYSICAL_QUALITY,22
613,olive,B-FOOD,22
614,oil,I-FOOD,22
615,1,B-QUANTITY,23
616,whole,B-PHYSICAL_QUALITY,23
617,fully,B-PROCESS,23
618,cooked,I-PROCESS,23
619,ham,B-FOOD,23
620,15-18,B-QUANTITY,23
621,Pounds,B-UNIT,23
622,whole,B-PHYSICAL_QUALITY,23
623,cloves,B-FOOD,23
624,3,B-QUANTITY,23
625,cups,B-UNIT,23
626,brown,B-COLOR,23
627,sugar,B-FOOD,23
628,1/2,B-QUANTITY,23
629,cup,B-UNIT,23
630,spicy,B-TASTE,23
631,brown,B-COLOR,23
632,mustard,B-FOOD,23
633,1,B-QUANTITY,23
634,can,B-UNIT,23
635,dr,B-FOOD,23
636,pepper,I-FOOD,23
637,3,B-QUANTITY,23
638,tablespoons,B-UNIT,23
639,apple,B-FOOD,23
640,cider,I-FOOD,23
641,1,B-QUANTITY,23
642,tablespoon,B-UNIT,23
643,lemon,B-FOOD,23
644,juice,I-FOOD,23
645,tablespoon,B-UNIT,23
646,extra,B-PHYSICAL_QUALITY,23
647,olive,B-FOOD,23
648,oil,I-FOOD,23
649,3,B-QUANTITY,24
650,ounces,B-UNIT,24
651,chocolate,B-FOOD,24
652,prepared,B-PROCESS,24
653,hot,I-PROCESS,24
654,0.75,B-QUANTITY,24
655,ounces,B-UNIT,24
656,creme,B-FOOD,24
657,de,I-FOOD,24
658,0.75,B-QUANTITY,24
659,ounces,B-UNIT,24
660,vanilla,B-FOOD,24
661,vodka,I-FOOD,24
662,ounce,B-UNIT,24
663,Kahlua,B-FOOD,24
664,6,B-QUANTITY,24
665,mini,B-PHYSICAL_QUALITY,24
666,marshmallows,B-FOOD,24
667,1,B-QUANTITY,24
668,can,B-UNIT,24
669,dr,B-FOOD,24
670,pepper,I-FOOD,24
671,3,B-QUANTITY,24
672,tablespoons,B-UNIT,24
673,apple,B-FOOD,24
674,cider,I-FOOD,24
675,1,B-QUANTITY,24
676,tablespoon,B-UNIT,24
677,lemon,B-FOOD,24
678,juice,I-FOOD,24
679,tablespoon,B-UNIT,24
680,extra,B-PHYSICAL_QUALITY,24
681,olive,B-FOOD,24
682,oil,I-FOOD,24
683,2,B-QUANTITY,25
684,cups,B-UNIT,25
685,full-fat,B-PHYSICAL_QUALITY,25
686,greek,B-FOOD,25
687,yogurt,I-FOOD,25
688,saffron,B-FOOD,25
689,strands,B-UNIT,25
690,1,B-QUANTITY,25
691,tablespoon,B-UNIT,25
692,hot,B-PHYSICAL_QUALITY,25
693,water,B-FOOD,25
694,½,B-QUANTITY,25
695,cup,B-UNIT,25
696,powdered,B-PHYSICAL_QUALITY,25
697,sugar,B-FOOD,25
698,½,B-QUANTITY,25
699,teaspoon,B-UNIT,25
700,ground,B-PROCESS,25
701,cardamom,B-FOOD,25
702,whipped,B-PROCESS,25
703,cream,B-FOOD,25
704,for,B-PURPOSE,25
705,garnish,I-PURPOSE,25
706,nut,B-FOOD,25
707,for,B-PURPOSE,25
708,topping,I-PURPOSE,25
709,1,B-QUANTITY,25
710,tablespoon,B-UNIT,25
711,lemon,B-FOOD,25
712,juice,I-FOOD,25
713,tablespoon,B-UNIT,25
714,extra,B-PHYSICAL_QUALITY,25
715,olive,B-FOOD,25
716,oil,I-FOOD,25
717,½,B-QUANTITY,26
718,cup,B-UNIT,26
719,instant,B-PHYSICAL_QUALITY,26
720,oatmeal,B-FOOD,26
721,2,B-QUANTITY,26
722,tablespoons,B-UNIT,26
723,freeze-dried,B-PROCESS,26
724,blueberry,B-FOOD,26
725,1,B-QUANTITY,26
726,tablespoon,B-UNIT,26
727,slivered,B-PROCESS,26
728,almond,B-FOOD,26
729,1,B-QUANTITY,26
730,tablespoon,B-UNIT,26
731,chia,B-FOOD,26
732,seed,I-FOOD,26
733,teaspoon,B-UNIT,26
734,vanilla,B-FOOD,26
735,bean,I-FOOD,26
736,teaspoons,B-UNIT,26
737,sugar,B-FOOD,26
738,¾,B-QUANTITY,26
739,cup,B-UNIT,26
740,water,B-FOOD,26
741,milk,B-FOOD,26
742,boiling,B-PROCESS,26
743,1,B-QUANTITY,26
744,tablespoon,B-UNIT,26
745,lemon,B-FOOD,26
746,juice,I-FOOD,26
747,tablespoon,B-UNIT,26
748,extra,B-PHYSICAL_QUALITY,26
749,olive,B-FOOD,26
750,oil,I-FOOD,26
751,5,B-QUANTITY,27
752,pounds,B-UNIT,27
753,potatoes,B-FOOD,27
754,cubed,B-PROCESS,27
755,8,B-QUANTITY,27
756,eggs,B-FOOD,27
757,hard,B-PROCESS,27
758,boiled,I-PROCESS,27
759,3,B-QUANTITY,27
760,stalks,B-UNIT,27
761,celery,B-FOOD,27
762,chopped,B-PROCESS,27
763,15,B-QUANTITY,27
764,ounces,B-UNIT,27
765,mayo,B-FOOD,27
766,2,B-QUANTITY,27
767,teaspoons,B-UNIT,27
768,salt,B-FOOD,27
769,2,B-QUANTITY,27
770,teaspoons,B-UNIT,27
771,sugar,B-FOOD,27
772,¾,B-QUANTITY,27
773,cup,B-UNIT,27
774,water,B-FOOD,27
775,milk,B-FOOD,27
776,boiling,B-PROCESS,27
777,1,B-QUANTITY,27
778,tablespoon,B-UNIT,27
779,lemon,B-FOOD,27
780,juice,I-FOOD,27
781,tablespoon,B-UNIT,27
782,extra,B-PHYSICAL_QUALITY,27
783,olive,B-FOOD,27
784,oil,I-FOOD,27
785,1,B-QUANTITY,28
786,cup,B-UNIT,28
787,warm,B-PHYSICAL_QUALITY,28
788,milk,B-FOOD,28
789,2,B-QUANTITY,28
790,bags,B-UNIT,28
791,chai,B-FOOD,28
792,tea,I-FOOD,28
793,pear,B-FOOD,28
794,cored,B-PROCESS,28
795,diced,B-PROCESS,28
796,1,B-QUANTITY,28
797,tablespoon,B-UNIT,28
798,honey,B-FOOD,28
799,½,B-QUANTITY,28
800,teaspoon,B-UNIT,28
801,vanilla,B-FOOD,28
802,extract,I-FOOD,28
803,teaspoon,B-UNIT,28
804,cinnamon,B-FOOD,28
805,sugar,B-FOOD,28
806,¾,B-QUANTITY,28
807,cup,B-UNIT,28
808,water,B-FOOD,28
809,milk,B-FOOD,28
810,boiling,B-PROCESS,28
811,1,B-QUANTITY,28
812,tablespoon,B-UNIT,28
813,lemon,B-FOOD,28
814,juice,I-FOOD,28
815,tablespoon,B-UNIT,28
816,extra,B-PHYSICAL_QUALITY,28
817,olive,B-FOOD,28
818,oil,I-FOOD,28
819,¼,B-QUANTITY,29
820,cup,B-UNIT,29
821,strawberry,B-FOOD,29
822,sliced,B-PROCESS,29
823,1,B-QUANTITY,29
824,cup,B-UNIT,29
825,water,B-FOOD,29
826,1,B-QUANTITY,29
827,cup,B-UNIT,29
828,whole,B-PHYSICAL_QUALITY,29
829,milk,B-FOOD,29
830,1,B-QUANTITY,29
831,tablespoon,B-UNIT,29
832,honey,B-FOOD,29
833,½,B-QUANTITY,29
834,teaspoon,B-UNIT,29
835,vanilla,B-FOOD,29
836,extract,I-FOOD,29
837,teaspoon,B-UNIT,29
838,cinnamon,B-FOOD,29
839,sugar,B-FOOD,29
840,¾,B-QUANTITY,29
841,cup,B-UNIT,29
842,water,B-FOOD,29
843,milk,B-FOOD,29
844,boiling,B-PROCESS,29
845,1,B-QUANTITY,29
846,tablespoon,B-UNIT,29
847,lemon,B-FOOD,29
848,juice,I-FOOD,29
849,tablespoon,B-UNIT,29
850,extra,B-PHYSICAL_QUALITY,29
851,olive,B-FOOD,29
852,oil,I-FOOD,29
853,4,B-QUANTITY,30
854,cups,B-UNIT,30
855,rolled,B-FOOD,30
856,oats,I-FOOD,30
857,tablespoons,B-UNIT,30
858,seeds,B-FOOD,30
859,1/2,B-QUANTITY,30
860,cup,B-UNIT,30
861,peanuts,B-FOOD,30
862,unsalted,B-TASTE,30
863,chopped,B-PROCESS,30
864,3/4,B-QUANTITY,30
865,cup,B-UNIT,30
866,natural,B-PHYSICAL_QUALITY,30
867,peanut,B-FOOD,30
868,butter,I-FOOD,30
869,1/2,B-QUANTITY,30
870,cup,B-UNIT,30
871,brown,B-FOOD,30
872,rice,I-FOOD,30
873,sugar,B-FOOD,30
874,¾,B-QUANTITY,30
875,cup,B-UNIT,30
876,water,B-FOOD,30
877,milk,B-FOOD,30
878,boiling,B-PROCESS,30
879,1,B-QUANTITY,30
880,tablespoon,B-UNIT,30
881,lemon,B-FOOD,30
882,juice,I-FOOD,30
883,tablespoon,B-UNIT,30
884,extra,B-PHYSICAL_QUALITY,30
885,olive,B-FOOD,30
886,oil,I-FOOD,30
887,3,B-QUANTITY,31
888,cups,B-UNIT,31
889,half-and-half,B-FOOD,31
890,1,B-QUANTITY,31
891,14,B-QUANTITY,31
892,ounce,B-UNIT,31
893,can,B-UNIT,31
894,sweetened,B-TASTE,31
895,condensed,B-PHYSICAL_QUALITY,31
896,milk,B-FOOD,31
897,1,B-QUANTITY,31
898,cup,B-UNIT,31
899,mashed,B-PROCESS,31
900,banana,B-FOOD,31
901,1,B-QUANTITY,31
902,tablespoon,B-UNIT,31
